name,address,city,country,latitude,longitude,avg_score,total_reviews
Shepherd s Bush Boutique Hotel,11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,London,United Kingdom,51.5054544,-0.2262216,8.0,1069
Holiday Inn London Oxford Circus,57 59 Welbeck Street Westminster Borough London W1G 9BL United Kingdom,London,United Kingdom,51.516843,-0.1495574,7.5,1287
Relais Christine,3 Rue Christine 6th arr 75006 Paris France,Paris,France,48.8542454,2.339956,9.1,287
H tel Le M,20 bis rue de la Ga t 14th arr 75014 Paris France,Paris,France,48.8397623,2.3235324,8.2,1140
Grand Pigalle Hotel,29 rue Victor Mass 9th arr 75009 Paris France,Paris,France,48.880856,2.3375085,9.1,399
Dikker en Thijs Fenice Hotel,Prinsengracht 444 Amsterdam City Center 1017 KE Amsterdam Netherlands,Amsterdam,Netherlands,52.364971,4.8839827,8.4,1971
NH City Centre Amsterdam,Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands,Amsterdam,Netherlands,52.3697554,4.8887815,8.2,3417
Urban Lodge Hotel,Arlandaweg 10 Westpoort 1043 EW Amsterdam Netherlands,Amsterdam,Netherlands,52.3856494,4.834443,8.6,5018
Thistle Kensington Gardens,104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,London,United Kingdom,51.5108439,-0.1839074,8.2,2134
Platine Hotel Spa,20 rue de l Ing nieur Robert Keller 15th arr 75015 Paris France,Paris,France,48.8473459,2.2832408,8.6,729
NH Amsterdam Zuid,Van Leijenberghlaan 221 Zuideramstel 1082 GG Amsterdam Netherlands,Amsterdam,Netherlands,52.3266672,4.8800884,7.8,1245
Mercure London Paddington Hotel,144 Praed St Paddington Westminster Borough London W2 1HU United Kingdom,London,United Kingdom,51.5161139,-0.1749521,7.6,1458
H tel Hor,160 Rue La Fayette 10th arr 75010 Paris France,Paris,France,48.8793427,2.3577745,8.6,1090
LHP Hotel Napoleon,Via Ozanam 12 Citt Studi 20129 Milan Italy,Milan,Italy,45.4802415,9.2131919,8.3,599
Hotel Georgette,36 rue du Grenier Saint Lazare 3rd arr 75003 Paris France,Paris,France,48.8632723,2.352691,8.8,307
Park Plaza Westminster Bridge London,Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,London,United Kingdom,51.5009609,-0.1165913,8.7,12158
Villa d Estr es,17 rue g t le coeur 6th arr 75006 Paris France,Paris,France,48.8535089,2.3425787,8.7,59
H tel Elysees Mermoz,30 Rue Jean Mermoz 8th arr 75008 Paris France,Paris,France,48.8715079,2.3122259,8.7,564
Le Pavillon de la Reine Spa,28 place des Vosges 3rd arr 75003 Paris France,Paris,France,48.8562725,2.3660412,9.2,376
Shaftesbury Hyde Park International,52 56 Inverness Terrace Westminster Borough London W2 3LB United Kingdom,London,United Kingdom,51.5123968,-0.186124,8.0,2907
The Park Grand London Paddington,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,London,United Kingdom,51.5142184,-0.1809032,7.7,4380
Gran Hotel La Florida,Carretera Vallvidrera Tibidabo 83 93 Horta Guinard 08035 Barcelona Spain,Barcelona,Spain,41.4253332,2.1211028,8.7,943
Andreola Central Hotel,Via Domenico Scarlatti 24 Central Station 20124 Milan Italy,Milan,Italy,45.4836517,9.2078581,8.3,1135
Novotel London Excel,7 Western Gateway Royal Victoria Dock Newham London E16 1AA United Kingdom,London,United Kingdom,51.5077198,0.0229805,8.5,1158
Room Mate Giulia,Silvio Pellico 4 Milan City Center 20121 Milan Italy,Milan,Italy,45.4651371,9.1895249,9.3,2011
Dorset Square Hotel,39 40 Dorset Square Hotel Westminster Borough London NW1 6QN United Kingdom,London,United Kingdom,51.5226361,-0.1602871,9.0,263
H tel France d Antin Op ra,22 rue d Antin 2nd arr 75002 Paris France,Paris,France,48.8692566,2.3339369,8.5,173
Glam Milano,Piazza Duca D Aosta 4 6 Central Station 20124 Milan Italy,Milan,Italy,45.4838504,9.2034067,8.8,7371
Corendon Vitality Hotel Amsterdam,Aletta Jacobslaan 7 Slotervaart 1066 BP Amsterdam Netherlands,Amsterdam,Netherlands,52.3466449,4.8310984,8.4,4410
Arenas Atiram Hotels,Capitan Arenas 20 Les Corts 08034 Barcelona Spain,Barcelona,Spain,41.3904305,2.1262314,7.5,779
Threadneedles Autograph Collection,5 Threadneedle Street City of London London EC2R 8AY United Kingdom,London,United Kingdom,51.5140208,-0.0854919,8.8,390
The Hub Hotel,Via Privata Polonia 10 20157 Milan Italy,Milan,Italy,45.5138582,9.1194759,7.7,1160
Hotel Barcelona Center,Balmes 103 105 Eixample 08008 Barcelona Spain,Barcelona,Spain,41.3917169,2.1592614,8.4,1472
Ca Bianca Hotel Corte Del Naviglio,Via Lodovico Il Moro 117 Navigli 20143 Milan Italy,Milan,Italy,45.443502,9.1377081,7.7,1319
Holiday Inn Paris Saint Germain des Pr s,92 rue de Vaugirard 6th arr 75006 Paris France,Paris,France,48.846837,2.3258066,8.1,1407
Palais Coburg Residenz,Coburgbastei 4 01 Innere Stadt 1010 Vienna Austria,Vienna,Austria,48.2058584,16.3766545,9.5,98
Grange Blooms Hotel,7 Montague Street Bloomsbury Camden London WC1B 5BP United Kingdom,London,United Kingdom,51.5196913,-0.1254243,8.3,393
Mercure London Bloomsbury Hotel,130 134 Southampton Row Camden London WC1B 5AF United Kingdom,London,United Kingdom,51.5210085,-0.1230966,8.3,1361
Batty Langley s,12 Folgate Street City of London London E1 6BX United Kingdom,London,United Kingdom,51.5208575,-0.0779503,9.4,644
Andaz Amsterdam Prinsengracht A Hyatt Hotel,Prinsengracht 587 Amsterdam City Center 1067 HT Amsterdam Netherlands,Amsterdam,Netherlands,52.3678368,4.8830788,9.3,851
Novotel Amsterdam City,Europaboulevard 10 Zuideramstel 1083 AD Amsterdam Netherlands,Amsterdam,Netherlands,52.333803,4.8884708,7.8,2501
Grand Visconti Palace,Viale Isonzo 14 Porta Romana 20135 Milan Italy,Milan,Italy,45.4471408,9.2070051,8.6,1536
Holiday Inn London Kensington Forum,97 Cromwell Road Kensington and Chelsea London SW7 4DN United Kingdom,London,United Kingdom,51.4942305,-0.1851141,7.8,3867
Les Jardins Du Marais,74 rue Amelot 11th arr 75011 Paris France,Paris,France,48.8605219,2.3680239,8.1,838
Mercure London Kensington Hotel,1a Lexham Gardens Kensington and Chelsea London W8 5JJ United Kingdom,London,United Kingdom,51.4950098,-0.1906195,7.5,1016
